time;ax;ay;az;aT
1.9500;-0.0729;-0.1017;0.0848;0.151
1.9510;-0.0597;-0.0924;0.1184;0.162
1.9540;-0.0327;-0.0830;0.0754;0.117
1.9670;-0.0062;-0.0734;0.0993;0.124
1.9690;0.0346;-0.0687;0.0993;0.126
1.9690;0.0804;-0.0640;0.0898;0.136
1.9740;0.0832;-0.0689;0.1233;0.164
1.9830;0.0622;-0.0738;0.1424;0.172
1.9840;0.0893;-0.0547;0.1136;0.155
1.9900;0.0928;-0.0306;0.0656;0.118
1.9990;0.0915;0.0125;0.0751;0.119
2.0000;0.1429;-0.0304;0.0558;0.156
2.0040;0.1705;0.0033;0.0318;0.173
2.0200;0.1826;0.0081;0.0220;0.184
2.0210;0.2329;-0.0297;0.0027;0.235
2.0210;0.2164;-0.0576;-0.0117;0.224
2.0250;0.2668;-0.0567;0.0262;0.274
2.0350;0.2790;-0.0606;0.0210;0.286
2.0370;0.2679;-0.0171;0.0206;0.269
2.0410;0.2575;0.0023;-0.0319;0.259
2.0610;0.2478;-0.0023;-0.0413;0.251
2.0620;0.2625;0.0170;-0.0649;0.271
2.0620;0.1686;0.0077;-0.0219;0.170
2.0630;0.1660;0.0463;-0.0458;0.178
2.0670;0.1495;0.0562;-0.0555;0.169
2.0700;0.1621;0.0711;0.0013;0.177
2.0750;0.1651;0.0716;-0.0279;0.182
2.0800;0.1539;0.0247;-0.0711;0.171
2.0850;0.0857;0.0256;-0.0427;0.099
2.0910;0.0892;0.0313;-0.0192;0.096
2.1020;0.0782;0.0606;-0.0577;0.115
2.1020;0.0768;0.0471;-0.0722;0.115
2.1080;0.0608;0.0717;-0.0675;0.116
2.1270;0.1018;0.0677;-0.0203;0.124
2.1280;0.0474;0.0353;0.0456;0.075
2.1290;0.0595;0.0315;0.0446;0.081
2.1290;0.0758;0.0464;0.0199;0.091
2.1320;0.0773;0.0659;0.0288;0.106
2.1350;0.0500;0.0565;0.0281;0.081
2.1400;0.0135;0.0804;0.0228;0.085
2.1460;-0.0040;0.0659;0.0366;0.076
2.1510;-0.0121;0.0656;0.0599;0.090
2.1560;-0.0157;0.0506;0.0880;0.103
2.1610;-0.0577;0.0877;0.0922;0.140
2.1660;-0.0759;0.0817;0.1107;0.157
2.1710;-0.0374;0.0803;0.0769;0.117
2.1780;-0.0659;0.0695;-0.0041;0.096
2.1810;-0.0467;0.1112;-0.0371;0.126
2.1860;-0.0749;0.0530;-0.0271;0.096
2.1920;-0.0741;0.0382;-0.0031;0.083
