time;ax;ay;az;aT
1.3010;-0.0271;-0.0212;0.0531;0.063
1.3060;-0.0029;-0.0599;0.0458;0.075
1.3110;-0.0071;-0.0934;0.0861;0.127
1.3160;0.0030;-0.0651;0.0976;0.117
1.3210;0.0130;-0.0324;0.1660;0.170
1.3270;-0.0246;-0.0761;0.1913;0.207
1.3310;-0.0713;-0.0389;0.1499;0.171
1.3360;-0.0990;0.0023;0.1044;0.144
1.3520;-0.0841;0.0047;0.0547;0.100
1.3520;-0.0743;-0.0123;-0.0039;0.075
1.3530;-0.0696;0.0326;-0.0288;0.082
1.3570;-0.0414;-0.0129;-0.1200;0.128
1.3740;-0.0371;-0.0247;-0.1487;0.155
1.3750;-0.0424;-0.0555;-0.1915;0.204
1.3750;-0.0240;-0.0571;-0.2008;0.210
1.3760;-0.0438;-0.0918;-0.2576;0.277
1.3810;-0.0257;-0.1410;-0.2159;0.259
1.3860;-0.0316;-0.1229;-0.2127;0.248
1.3940;0.0296;-0.1143;-0.1713;0.208
1.3960;0.0380;-0.0768;-0.1061;0.136
1.4010;0.0705;-0.1304;-0.1174;0.189
1.4070;0.1131;-0.1603;-0.1286;0.235
1.4120;0.0844;-0.1857;-0.0965;0.226
1.4170;0.1041;-0.1830;-0.0690;0.222
1.4220;0.0763;-0.1615;-0.0652;0.190
1.4270;0.0248;-0.1977;-0.1282;0.237
1.4320;0.0452;-0.2099;-0.1576;0.266
1.4370;0.0514;-0.2031;-0.1870;0.281
1.4500;-0.0045;-0.2056;-0.2069;0.292
1.4510;0.0161;-0.1933;-0.1984;0.277
1.4720;-0.0348;-0.1839;-0.1982;0.273
1.4740;-0.0380;-0.1837;-0.1839;0.263
1.4740;-0.0271;-0.1879;-0.1938;0.271
1.4750;-0.0166;-0.1820;-0.2038;0.274
1.4750;-0.0017;-0.2043;-0.1759;0.270
1.4790;0.0271;-0.2354;-0.2197;0.323
1.4830;0.0557;-0.1945;-0.2824;0.347
1.4880;0.0225;-0.1629;-0.2309;0.284
1.4940;0.0514;-0.1788;-0.1942;0.269
1.4970;0.0374;-0.2228;-0.1912;0.296
1.5030;0.0282;-0.2234;-0.1457;0.268
1.5110;0.0711;-0.2048;-0.1385;0.257
1.5130;0.0756;-0.1864;-0.1457;0.248
1.5180;0.0371;-0.2110;-0.1338;0.253
1.5230;0.0226;-0.1593;-0.1362;0.211
1.5280;-0.0299;-0.1365;-0.1007;0.172
1.5330;0.0032;-0.1329;-0.1129;0.174
1.5380;0.0547;-0.1292;-0.1299;0.191
1.5510;0.0345;-0.1396;-0.1183;0.186
1.5520;0.0429;-0.1402;-0.1354;0.200
1.5690;0.0942;-0.1455;-0.1572;0.234
1.5710;0.0980;-0.1410;-0.1313;0.216
1.5710;0.0833;-0.1697;-0.0916;0.210
1.5710;0.0973;-0.2076;-0.1091;0.254
1.5740;0.0831;-0.2120;-0.0885;0.244
1.5800;0.0503;-0.1690;-0.0395;0.181
1.5830;0.0700;-0.1739;-0.0858;0.206
1.5890;0.0561;-0.1268;-0.0842;0.162
1.5940;0.0468;-0.0897;-0.1015;0.143
1.5980;0.0280;-0.0670;-0.1045;0.127
1.6030;0.0237;-0.0778;-0.1311;0.154
1.6090;-0.0041;-0.0554;-0.0958;0.111
1.6140;0.0349;-0.0520;-0.0703;0.094
1.6180;0.0305;-0.0960;-0.0784;0.128
1.6240;0.0258;-0.0727;-0.1198;0.142
1.6290;0.0115;-0.0682;-0.1468;0.162
1.6340;-0.0123;-0.0253;-0.1264;0.130
1.6390;-0.0408;-0.0725;-0.1064;0.135
1.6510;-0.0075;-0.0666;-0.1010;0.121
1.6520;0.0112;-0.0986;-0.0436;0.108
1.6540;0.0058;-0.1064;-0.0532;0.119
1.6720;0.0526;-0.1045;-0.0390;0.123
1.6730;0.0706;-0.1406;-0.0582;0.168
1.6740;0.0649;-0.1198;-0.0485;0.145
1.6810;0.0167;-0.0946;-0.0151;0.097
1.6810;-0.0119;-0.0890;-0.0056;0.090
1.6840;-0.0214;-0.0647;-0.0149;0.070
1.6890;-0.0072;-0.0690;-0.0195;0.072
1.6950;-0.0410;-0.0543;-0.0905;0.113
1.7000;-0.0226;-0.0300;-0.0660;0.076
1.7040;0.0287;-0.0484;-0.0324;0.065
1.7110;0.0221;-0.0475;-0.0704;0.088
1.7140;0.0202;-0.0606;-0.0702;0.095
1.7190;0.0562;-0.1020;-0.0748;0.138
1.7280;0.0159;-0.1003;-0.0936;0.138
1.7290;0.0427;-0.0367;-0.0981;0.113
1.7340;0.0555;-0.0212;-0.0598;0.084
1.7400;0.0450;-0.0535;-0.0882;0.113
1.7550;0.0494;-0.0476;-0.0736;0.101
1.7560;0.0256;-0.0608;-0.0353;0.075
1.7730;-0.0073;-0.0455;-0.0258;0.053
1.7740;-0.0257;-0.0637;-0.0780;0.104
1.7750;0.0180;-0.0959;-0.1109;0.148
1.7750;0.0235;-0.1136;-0.1387;0.181
1.7760;0.0483;-0.1075;-0.1425;0.185
1.7810;0.0400;-0.0824;-0.1415;0.169
1.7850;0.0321;-0.0953;-0.0789;0.128
1.7910;0.0292;-0.1033;-0.0502;0.118
1.7950;0.0123;-0.0921;0.0211;0.095
1.8000;-0.0094;-0.1144;0.0680;0.133
1.8050;-0.0360;-0.0792;0.0812;0.119
1.8120;-0.0437;-0.0442;0.0562;0.084
1.8150;-0.0279;-0.0377;0.0218;0.052
1.8200;-0.0269;-0.0454;-0.0171;0.055
1.8270;-0.0644;0.0089;-0.0511;0.083
1.8300;-0.0590;0.0156;-0.1371;0.150
1.8350;-0.0395;-0.0296;-0.1894;0.196
1.8410;-0.0629;-0.0408;-0.2273;0.239
1.8470;-0.0864;-0.0231;-0.2507;0.266
1.8510;-0.0527;-0.0336;-0.3407;0.346
1.8550;-0.0098;-0.1197;-0.3255;0.347
1.8690;0.0045;-0.1432;-0.2726;0.308
1.8700;0.0144;-0.1474;-0.1679;0.224
1.8770;0.0249;-0.1471;-0.1258;0.195
1.8770;0.0313;-0.1707;-0.1598;0.236
1.8900;0.0433;-0.1469;-0.1079;0.187
1.8910;0.0369;-0.1332;-0.0563;0.149
1.8980;0.0403;-0.1151;0.0236;0.124
1.8990;0.0580;-0.1068;0.0601;0.136
1.9020;-0.0006;-0.0799;0.0252;0.084
1.9060;-0.0544;-0.0247;-0.0189;0.063
1.9110;-0.0608;-0.0363;-0.0247;0.075
1.9160;-0.0581;0.0142;-0.0353;0.069
1.9210;-0.0701;0.0266;-0.0223;0.078
1.9280;-0.0684;0.0392;0.0190;0.081
1.9320;-0.0294;0.0513;0.0031;0.059
1.9360;-0.0433;0.0109;-0.0173;0.048
1.9410;-0.0336;-0.0623;-0.0423;0.082
1.9600;-0.0145;-0.0585;-0.1148;0.130
1.9610;-0.0242;-0.0543;-0.1585;0.169
1.9610;-0.0052;-0.0211;-0.1402;0.142
1.9750;-0.0146;0.0313;-0.1367;0.141
1.9760;-0.0189;0.0265;-0.0858;0.092
1.9770;-0.0132;-0.0114;-0.0733;0.075
1.9770;0.0118;0.0365;-0.0609;0.072
1.9830;0.0182;0.0221;-0.0153;0.032
1.9870;0.0202;-0.0065;0.0822;0.085
2.0000;0.0224;-0.0352;0.1125;0.120
2.0010;0.0057;-0.0306;0.1854;0.188
2.0020;0.0507;0.0213;0.2626;0.268
2.0070;0.0808;0.0058;0.2918;0.303
2.0120;0.0630;0.0139;0.2165;0.226
2.0170;0.0022;0.0504;0.1656;0.173
2.0220;-0.0394;0.0772;0.1150;0.144
2.0280;-0.0192;0.1135;0.0696;0.134
2.0320;-0.0329;0.1119;0.1050;0.157
2.0370;-0.0565;0.1772;0.1257;0.224
2.0440;-0.0235;0.1426;0.0605;0.157
2.0470;0.0235;0.0944;0.0527;0.111
2.0520;0.0274;0.0851;0.0590;0.107
2.0570;0.0458;0.1329;0.0129;0.141
2.0700;0.0265;0.0665;-0.0138;0.073
2.0700;0.0599;0.0528;-0.0355;0.087
2.0850;0.0507;0.0534;-0.0712;0.102
2.0860;0.0563;-0.0031;-0.0353;0.067
2.0870;0.0430;0.0450;-0.0281;0.068
2.0870;0.0533;0.0831;-0.0399;0.106
2.0940;0.0539;0.0540;-0.0466;0.089
2.0980;0.0209;0.0487;-0.0104;0.054
2.1030;-0.0124;0.0671;0.0682;0.096
2.1090;-0.0176;0.1140;-0.0058;0.115
2.1130;-0.0375;0.1273;-0.0413;0.139
2.1180;-0.0149;0.1027;0.0943;0.140
2.1250;0.0215;0.1545;0.1101;0.191
2.1290;0.0335;0.1492;0.1066;0.186
2.1330;-0.0164;0.1345;0.1315;0.189
2.1380;-0.0374;0.1627;0.1420;0.219
2.1520;-0.0344;0.1859;0.1477;0.240
2.1520;-0.0028;0.1804;0.1818;0.256
2.1580;0.0145;0.1890;0.2063;0.280
2.1590;0.0128;0.1735;0.1879;0.256
2.1700;0.0446;0.1294;0.1223;0.184
2.1710;0.0338;0.1141;0.1380;0.182
2.1740;0.0092;0.1270;0.1966;0.234
2.1810;0.0275;0.1492;0.1787;0.234
2.1830;0.0408;0.1758;0.1515;0.236
2.1890;0.0211;0.1213;0.1294;0.179
2.1950;0.0162;0.1098;0.2358;0.261
2.1990;0.0117;0.1362;0.3367;0.363
2.2030;0.0119;0.0812;0.4036;0.412
2.2090;-0.0118;0.0974;0.4750;0.485
2.2140;0.0309;0.1322;0.5364;0.553
2.2190;-0.0315;0.1236;0.4978;0.514
2.2250;-0.0413;0.1244;0.4690;0.487
2.2290;-0.0652;0.1581;0.4360;0.468
2.2340;-0.0935;0.1771;0.4364;0.480
2.2390;-0.0694;0.1720;0.4370;0.475
2.2540;-0.0978;0.1953;0.3807;0.439
2.2540;-0.0877;0.1896;0.3582;0.415
2.2560;-0.0631;0.1789;0.3550;0.403
2.2720;-0.0338;0.1966;0.3615;0.413
2.2730;-0.0568;0.1618;0.3110;0.355
2.2730;-0.0795;0.1175;0.2515;0.289
2.2750;-0.0449;0.0735;0.2448;0.259
2.2800;-0.0581;0.0443;0.3188;0.327
2.2840;-0.0622;0.0151;0.3258;0.332
