time;ax;ay;az;aT
2.5400;0.1226;-0.0747;-0.1336;0.196
2.5440;0.1029;-0.0548;-0.1326;0.177
2.5510;0.0885;-0.0634;-0.1555;0.190
2.5550;0.0604;-0.1049;-0.1830;0.219
2.5600;0.0234;-0.0603;-0.1392;0.154
2.5740;0.0343;-0.0300;-0.0722;0.085
2.5750;0.0115;-0.0093;-0.0153;0.021
2.5750;0.0411;-0.0029;-0.0539;0.068
2.5890;0.0941;-0.0250;-0.0163;0.099
2.5900;0.1469;-0.0184;-0.0264;0.150
2.5910;0.1710;-0.0072;0.0110;0.171
2.5950;0.1474;-0.0340;-0.0183;0.152
2.6000;0.1050;0.0156;-0.0048;0.106
2.6050;0.1292;0.0176;0.0275;0.133
2.6100;0.0863;0.0148;-0.0022;0.088
2.6180;0.0811;0.0501;0.0490;0.107
2.6200;0.0949;0.0472;0.0237;0.109
2.6250;0.0896;0.0493;0.0176;0.104
2.6300;0.1129;0.0373;0.0495;0.129
2.6360;0.0698;0.0539;0.0478;0.100
2.6410;0.0558;0.0229;0.0699;0.092
2.6450;-0.0004;0.0726;0.0919;0.117
2.6500;0.0345;0.0744;0.0662;0.105
2.6560;0.0172;0.0904;0.0456;0.103
2.6610;0.0145;0.1016;0.0583;0.118
2.6780;0.0689;0.0654;0.0661;0.116
2.6790;0.0755;0.0628;0.0405;0.106
2.6790;0.0772;0.0891;0.1100;0.161
2.6810;0.0455;0.0867;0.1740;0.200
2.6940;0.0758;0.1555;0.2234;0.283
2.6960;0.0819;0.1477;0.1917;0.255
2.6960;0.0973;0.1206;0.2411;0.287
2.7020;0.1171;0.0792;0.2285;0.269
2.7060;0.0795;0.0569;0.1544;0.183
2.7110;0.0371;0.0818;0.1143;0.145
2.7190;0.0471;0.0919;0.0938;0.139
2.7220;0.0805;0.0684;0.0071;0.106
2.7260;0.0753;0.0497;-0.0267;0.094
2.7340;0.0653;0.0454;-0.0174;0.081
2.7370;0.0887;0.0697;-0.0936;0.147
2.7420;0.0695;0.1083;-0.1266;0.181
2.7470;0.0224;0.0516;-0.1261;0.138
